2016-12-23 13:13:40,946 | WARN  | Transport (localhost/127.0.0.1:61616) failed to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 , attempting to automatically reconnect due to: java.net.SocketException: Connection reset | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Transport: tcp://localhost/127.0.0.1:61616
2016-12-23 13:13:40,946 | WARN  | Transport (localhost/127.0.0.1:61616) failed to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 , attempting to automatically reconnect due to: java.net.SocketException: Connection reset | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Transport: tcp://localhost/127.0.0.1:61616
2016-12-23 13:13:40,947 | WARN  | Transport (localhost/127.0.0.1:61616) failed to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 , attempting to automatically reconnect due to: java.net.SocketException: Connection reset | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Transport: tcp://localhost/127.0.0.1:61616
2016-12-23 13:13:40,947 | WARN  | Transport (localhost/127.0.0.1:61616) failed to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 , attempting to automatically reconnect due to: java.net.SocketException: Connection reset | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Transport: tcp://localhost/127.0.0.1:61616
2016-12-23 13:13:40,947 | WARN  | Transport (localhost/127.0.0.1:61616) failed to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 , attempting to automatically reconnect due to: java.net.SocketException: Connection reset | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Transport: tcp://localhost/127.0.0.1:61616
2016-12-23 13:13:40,946 | WARN  | Transport (localhost/127.0.0.1:61616) failed to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 , attempting to automatically reconnect due to: java.net.SocketException: Connection reset | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Transport: tcp://localhost/127.0.0.1:61616
2016-12-23 13:13:40,946 | WARN  | Transport (localhost/127.0.0.1:61616) failed to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 , attempting to automatically reconnect due to: java.net.SocketException: Connection reset | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Transport: tcp://localhost/127.0.0.1:61616
2016-12-23 13:13:40,947 | WARN  | Transport (localhost/127.0.0.1:61616) failed to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 , attempting to automatically reconnect due to: java.net.SocketException: Connection reset | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Transport: tcp://localhost/127.0.0.1:61616
2016-12-23 13:13:40,947 | WARN  | Transport (localhost/127.0.0.1:61616) failed to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 , attempting to automatically reconnect due to: java.net.SocketException: Connection reset | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Transport: tcp://localhost/127.0.0.1:61616
2016-12-23 13:13:40,949 | WARN  | Transport (localhost/127.0.0.1:61616) failed to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 , attempting to automatically reconnect due to: java.net.SocketException: Connection reset | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Transport: tcp://localhost/127.0.0.1:61616
2016-12-23 13:13:40,950 | WARN  | Transport (localhost/127.0.0.1:61616) failed to tcp://localhost:61616?wireFormat.maxInactivityDuration=10000 , attempting to automatically reconnect due to: java.net.SocketException: Connection reset | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Transport: tcp://localhost/127.0.0.1:61616
