2017-06-12 21:07:08,456 | DEBUG | Returning cached instance of singleton bean 'exceptionResolver' | org.springframework.beans.factory.support.DefaultListableBeanFactory | GFGXDB.TEST1
2017-06-12 21:07:08,457 | TRACE | No bean named 'viewNameTranslator' found in org.springframework.beans.factory.support.DefaultListableBeanFactory@1f5315fa: defining beans [queueBrowser,messageQuery,queueConsumerQuery,connectionQuery,org.springframework.beans.factory.config.PropertyPlaceholderConfigurer#0,brokerQuery,sessionPool,connectionFactory]; root of factory hierarchy | org.springframework.beans.factory.support.DefaultListableBeanFactory | GFGXDB.TEST1
2017-06-12 21:07:08,457 | DEBUG | Creating instance of bean 'org.springframework.web.servlet.view.DefaultRequestToViewNameTranslator' | org.springframework.beans.factory.support.DefaultListableBeanFactory | GFGXDB.TEST1
2017-06-12 21:07:08,457 | DEBUG | Finished creating instance of bean 'org.springframework.web.servlet.view.DefaultRequestToViewNameTranslator' | org.springframework.beans.factory.support.DefaultListableBeanFactory | GFGXDB.TEST1
2017-06-12 21:07:08,457 | DEBUG | Unable to locate RequestToViewNameTranslator with name 'viewNameTranslator': using default [org.springframework.web.servlet.view.DefaultRequestToViewNameTranslator@29d8164d] | org.springframework.web.servlet.DispatcherServlet | GFGXDB.TEST1
2017-06-12 21:07:08,458 | DEBUG | Creating instance of bean 'org.springframework.web.servlet.view.InternalResourceViewResolver' | org.springframework.beans.factory.support.DefaultListableBeanFactory | GFGXDB.TEST1
2017-06-12 21:07:08,461 | DEBUG | Finished creating instance of bean 'org.springframework.web.servlet.view.InternalResourceViewResolver' | org.springframework.beans.factory.support.DefaultListableBeanFactory | GFGXDB.TEST1
2017-06-12 21:07:08,461 | DEBUG | No ViewResolvers found in servlet 'dispatcher': using default | org.springframework.web.servlet.DispatcherServlet | GFGXDB.TEST1
2017-06-12 21:07:08,461 | TRACE | Publishing event in Root WebApplicationContext: org.springframework.context.event.ContextRefreshedEvent[source=WebApplicationContext for namespace 'dispatcher-servlet': startup date [Mon Jun 12 21:07:08 GMT+08:00 2017]; parent: Root WebApplicationContext] | org.springframework.web.context.support.XmlWebApplicationContext | GFGXDB.TEST1
2017-06-12 21:07:08,461 | DEBUG | Published WebApplicationContext of servlet 'dispatcher' as ServletContext attribute with name [org.springframework.web.servlet.FrameworkServlet.CONTEXT.dispatcher] | org.springframework.web.servlet.DispatcherServlet | GFGXDB.TEST1
2017-06-12 21:07:08,461 | INFO  | FrameworkServlet 'dispatcher': initialization completed in 104 ms | org.springframework.web.servlet.DispatcherServlet | GFGXDB.TEST1
2017-06-12 21:07:08,461 | DEBUG | Servlet 'dispatcher' configured successfully | org.springframework.web.servlet.DispatcherServlet | GFGXDB.TEST1
2017-06-12 21:07:08,461 | DEBUG | STARTED dispatcher | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,461 | INFO  | ActiveMQ Console at http://0.0.0.0:9999/admin | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,461 | DEBUG | STARTED WebAppContext@f0a6cc0@f0a6cc0/admin,file:/D:/workspace/duplex-oracle-server/webapps/admin/ | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,461 | DEBUG | Starting WebAppContext@2a04a2d5@2a04a2d5/console,file:/D:/workspace/duplex-oracle-server/webapps/console/ | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,461 | DEBUG | Thread Context class loader is: ContextLoader@null([]) / sun.misc.Launcher$AppClassLoader@c387f44 | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,461 | DEBUG | Parent class loader is: sun.misc.Launcher$AppClassLoader@c387f44 | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,461 | DEBUG | Parent class loader is: sun.misc.Launcher$ExtClassLoader@6438a396 | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,464 | DEBUG | Set temp dir C:\Users\jangzo\AppData\Local\Temp\Jetty_0_0_0_0_9999_console__console__d54rgd | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,468 | DEBUG | parse: jar:file:/D:/workspace/duplex-oracle-server/lib/jetty-all-server-7.1.6.v20100715.jar!/org/eclipse/jetty/webapp/webdefault.xml | org.eclipse.jetty.util.log | GFGXDB.TEST1
